id,datetime,document_text,city
13,2024-09-28 09:59:00,Customer at 6973 Ridge Ave reported erratic panel behavior — random zone faults and connectivity drops. Firmware was 2 behind current. Updated firmware and system stabilized.,Lehi
14,2025-09-11 10:45:00,Install at 9028 Valley St had complications — thick stone walls requiring special mounting hardware. Took 8.3 hours instead of the estimated 5.9. Left extra business cards — customer said they'd think about upgrading.,Salt Lake City
15,2026-02-28 09:40:00,"New construction install at 8379 Cypress Blvd. Pre-wired 12 sensors and 1 cameras, mounted Smart Hub panel in utility closet. Total time 3.7 hours. Customer was very pleased with the installation and tipped the technician.",Lehi
16,2025-07-19 09:27:00,"Upgrade install at 1524 Cherry Pl, replacing legacy system. New SkyControl panel, 9 sensors, and 2 HD cameras. Finished in 4.7 hours. Smooth install — customer was happy with clean wire management.",Provo
17,2024-06-15 09:56:00,Difficult install at 4657 River Blvd due to thick stone walls requiring special mounting hardware. Spent 8.7 hours on-site. Customer was understanding but asked for a discount on monthly monitoring.,Salt Lake City
18,2024-08-15 10:52:00,Panel at 7024 Prairie Cir running on backup battery continuously. Found AC transformer had failed — output was 0V instead of 16.5V. Replaced transformer and verified panel charging.,Salt Lake City
19,2024-04-21 16:27:00,Alarm at 6973 Ridge Ave failed to report during quarterly test. 3G module was intermittent — carrier towers no longer supporting 3G in this zip code. Swapped to LTE communicator and ran successful test.,Salt Lake City
20,2024-11-17 17:54:00,Customer at 9035 Aspen Rd experiencing frequent offline alerts. Wi-Fi signal at panel location was -78 dBm. Installed Wi-Fi range extender near panel — signal improved to -45 dBm and connection stabilized.,Salt Lake City
21,2026-03-15 16:38:00,Touchscreen at 3357 Summit Dr front entry had visible crack and ghost touches causing accidental arm/disarm. Replaced keypad under service plan and reprogrammed all user codes.,Salt Lake City
22,2026-02-25 08:29:00,Outdoor camera at 4657 River Blvd pool area had water intrusion. Found crack in housing from UV degradation. Replaced camera and used silicone sealant on cable entry point as added protection.,Lehi
23,2026-03-31 14:42:00,PoE camera at 3627 Brookside Ln garage going offline daily. PoE switch port was overheating and shutting down. Replaced switch and confirmed stable power delivery to all 5 cameras.,Lehi
24,2025-12-31 11:15:00,Camera at 9963 Redwood Rd pool area fogging up during rain. Weatherproof housing gasket had deteriorated. Replaced housing seal and applied anti-fog treatment to lens cover.,Salt Lake City
25,2025-12-13 07:54:00,False alarm investigation at 1619 Northfield Blvd. Motion detector in den triggering at night due to heat from fireplace. Relocated sensor and added pet immunity lens — customer has a small dog and cat.,Lehi
26,2025-08-29 16:42:00,"Standard install at 509 Maple St with 6 door/window sensors, 3 motion detectors, smoke detector, and CO detector. Completed in 2.4 hours. Customer mentioned this was much better than their previous provider.",Salt Lake City
27,2026-02-18 13:17:00,"New system install at 4657 River Blvd finished in 3.4 hours. Set up 9 entry sensors, 1 motion detectors, and a smart thermostat integration. Customer was very pleased with the installation and tipped the technician.",Lehi
28,2024-01-21 16:09:00,Install at 3911 Juniper Way had complications — customer changing sensor locations mid-install. Took 5.0 hours instead of the estimated 2.4. Left extra business cards — customer said they'd think about upgrading.,Lehi
29,2024-04-20 16:01:00,Secondary keypad at 9295 Dogwood Cir in family room showing blank screen. Found wiring had come loose at terminal block. Reconnected data and power wires — keypad booted up and synced with panel.,Lehi
30,2024-04-18 13:23:00,"Keypad at 7024 Prairie Cir lost all programming after power outage. Backup battery in keypad was dead. Re-paired keypad to panel, restored user codes, and replaced keypad battery.",Lehi
31,2024-11-28 09:31:00,"System at 1635 Sycamore Ln dropped offline after power outage. Cellular module needed manual reset. Rebooted communicator, verified connection, and tested alarm signal to central station.",Provo
32,2025-02-18 18:15:00,Service call at 9295 Dogwood Cir for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Salt Lake City
33,2024-08-09 18:30:00,Customer at 9963 Redwood Rd reported blurry camera image on garage camera. Lens had spider web and debris buildup. Cleaned lens and housing — image quality restored. Adjusted motion zone settings.,Provo
34,2025-05-05 14:21:00,Service call at 620 Walnut St for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Lehi
35,2025-03-29 11:55:00,System at 6324 Southpark Rd failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 3 bars.,Provo
36,2025-12-24 11:44:00,"Full security package installation at 7024 Prairie Cir. 10 sensors, 1 cameras, doorbell cam, and smart lock configured. Completed in 4.8 hours. Homeowner mentioned they'd recommend us to their neighbors.",Salt Lake City
37,2024-06-18 11:38:00,Touchscreen keypad at 1619 Northfield Blvd had unresponsive area in lower right quadrant. Screen was 5 years old. Replaced keypad and transferred user codes — all functions verified.,Salt Lake City
38,2025-08-13 07:48:00,Customer at 620 Walnut St reporting constant beeping from keypad that won't stop. Found tamper switch was partially triggered due to loose mounting. Remounted keypad securely and cleared tamper alert.,Lehi
39,2024-02-07 14:05:00,"New system install at 3357 Summit Dr finished in 4.9 hours. Set up 12 entry sensors, 4 motion detectors, and a smart thermostat integration. Customer rated the experience 5 stars on the post-install survey.",Provo
40,2026-02-17 07:13:00,Service call at 9963 Redwood Rd for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Provo
41,2025-12-23 11:26:00,"Panel battery replacement at 5674 Sunset Dr. Customer reported chirping for 2 days. Battery was 4 years old and wouldn't hold charge above 11.0V. Installed new battery, cleared low battery alert.",Provo
42,2025-04-02 15:30:00,Doorbell camera at 6973 Ridge Ave showing washed-out image in afternoon. Direct sunlight was hitting lens. Installed wedge mount to angle camera down and adjusted HDR settings.,Salt Lake City
43,2025-03-26 08:33:00,Installed SkyControl panel with 5 door/window sensors and 4 outdoor cameras at 7024 Prairie Cir. Job took 3.2 hours including customer walkthrough. Customer said the system was exactly what they needed for peace of mind.,Salt Lake City
44,2025-01-24 12:40:00,Window sensor at 4652 Sunrise St back door stuck in open status. Magnet had shifted due to window settling. Reinstalled magnet with proper spacing and tested open/close cycle.,Provo
45,2025-01-18 13:09:00,Video feed from 3911 Juniper Way garage camera cutting out intermittently. Traced to loose BNC connector at camera end. Re-terminated cable and secured connection — feed is stable.,Salt Lake City
46,2025-03-28 12:37:00,Touchscreen at 9295 Dogwood Cir front entry had visible crack and ghost touches causing accidental arm/disarm. Replaced keypad under service plan and reprogrammed all user codes.,Salt Lake City
47,2026-02-02 14:53:00,Service visit at 534 Hawthorn Pl — panel showing AC power loss. Traced issue to extension cord being used instead of direct outlet (code violation). Restored AC power and confirmed battery backup was charging correctly.,Provo
48,2024-07-24 09:50:00,Customer at 5614 Westview Ct experiencing frequent offline alerts. Wi-Fi signal at panel location was -78 dBm. Installed Wi-Fi range extender near panel — signal improved to -45 dBm and connection stabilized.,Salt Lake City
49,2025-07-03 08:29:00,Alarm at 3711 Meadow Ln failed to report during quarterly test. 3G module was intermittent — carrier towers no longer supporting 3G in this zip code. Swapped to LTE communicator and ran successful test.,Provo
50,2025-05-19 08:06:00,"Panel battery replacement at 3911 Juniper Way. Customer reported chirping for 2 days. Battery was 4 years old and wouldn't hold charge above 11.1V. Installed new battery, cleared low battery alert.",Provo
51,2024-04-11 17:23:00,System at 5614 Westview Ct failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 4 bars.,Lehi
52,2024-12-02 09:50:00,Installed Smart Hub panel with 6 door/window sensors and 1 outdoor cameras at 1684 Canyon Pl. Job took 5.0 hours including customer walkthrough. Customer asked about adding cameras to the package in the future.,Provo
53,2024-06-27 11:03:00,Camera at 1524 Cherry Pl pool area fogging up during rain. Weatherproof housing gasket had deteriorated. Replaced housing seal and applied anti-fog treatment to lens cover.,Salt Lake City
54,2025-05-17 18:58:00,"New system install at 2715 Forest Pl finished in 3.0 hours. Set up 5 entry sensors, 3 motion detectors, and a smart thermostat integration. Smooth install — customer was happy with clean wire management.",Lehi
55,2025-06-01 16:27:00,Responded to 1779 Willow Blvd for motion detector false alarms in den. HVAC register was directly below sensor causing air movement triggers. Repositioned detector away from vent.,Provo
56,2024-04-03 08:05:00,Difficult install at 206 Mountain Rd due to Wi-Fi dead zones requiring additional access points. Spent 6.2 hours on-site. Customer requested callback from supervisor.,Lehi
57,2024-10-21 16:19:00,Installation at 6973 Ridge Ave took longer than expected at 5.5 hours due to incorrect equipment shipped — had to use backup kit. Customer expressed frustration with the delay. Will need to return with additional parts to finish camera install.,Salt Lake City
58,2024-08-19 13:54:00,Outdoor camera at 1774 Eastgate Way front walkway — night vision not working. Found 3 of 8 IR LEDs had burned out after 2 years. Replaced camera and aimed for optimal coverage.,Provo
59,2025-03-05 14:21:00,Customer at 7012 Hickory Dr reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Salt Lake City
60,2024-10-17 17:43:00,System at 6324 Southpark Rd failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 4 bars.,Lehi
61,2025-12-21 10:32:00,Customer at 1774 Eastgate Way reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Provo
62,2024-03-31 13:54:00,Completed install at 1779 Willow Blvd but ran into issues with outdated wiring that needed to be replaced. Total time was 6.3 hours. Will need to return with additional parts to finish camera install.,Lehi
63,2025-06-06 10:57:00,Panel at 6973 Ridge Ave running on backup battery continuously. Found AC transformer had failed — output was 0V instead of 16.5V. Replaced transformer and verified panel charging.,Lehi
64,2025-03-26 08:30:00,System at 2715 Forest Pl failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 3 bars.,Provo
65,2026-04-09 16:41:00,Keypad at 588 Magnolia Ave displaying error code E-66. Reset keypad and re-enrolled to panel. Issue was caused by corrupted firmware — reflashed and keypad is operational.,Lehi
66,2025-11-26 16:03:00,"New system install at 9028 Valley St finished in 3.7 hours. Set up 8 entry sensors, 2 motion detectors, and a smart thermostat integration. Customer rated the experience 5 stars on the post-install survey.",Salt Lake City
67,2024-05-12 16:45:00,Touchscreen at 2386 Birch Way front entry had visible crack and ghost touches causing accidental arm/disarm. Replaced keypad under service plan and reprogrammed all user codes.,Lehi
68,2025-06-03 15:53:00,"Upgrade install at 3627 Brookside Ln, replacing legacy system. New SkyControl panel, 10 sensors, and 2 HD cameras. Finished in 4.6 hours. Customer mentioned this was much better than their previous provider.",Salt Lake City
69,2025-01-08 17:46:00,Customer at 3911 Juniper Way reported blurry camera image on front walkway camera. Lens had spider web and debris buildup. Cleaned lens and housing — image quality restored. Adjusted motion zone settings.,Salt Lake City
70,2025-10-18 14:55:00,Responded to 3711 Meadow Ln for motion detector false alarms in basement. HVAC register was directly below sensor causing air movement triggers. Repositioned detector away from vent.,Lehi
71,2025-01-30 08:23:00,"New system install at 3682 Poplar Ct finished in 4.5 hours. Set up 6 entry sensors, 1 motion detectors, and a smart thermostat integration. Homeowner mentioned they'd recommend us to their neighbors.",Salt Lake City
72,2025-09-22 07:57:00,"Full security package installation at 2386 Birch Way. 5 sensors, 3 cameras, doorbell cam, and smart lock configured. Completed in 4.5 hours. Customer asked about adding cameras to the package in the future.",Provo
73,2025-04-13 08:07:00,Responded to 4652 Sunrise St for motion detector false alarms in hallway. HVAC register was directly below sensor causing air movement triggers. Repositioned detector away from vent.,Salt Lake City
74,2025-04-26 07:40:00,System at 7459 Creek Ct failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 3 bars.,Salt Lake City
75,2024-03-05 18:49:00,"Full security package installation at 7024 Prairie Cir. 4 sensors, 3 cameras, doorbell cam, and smart lock configured. Completed in 2.1 hours. Customer was impressed with the app walkthrough and doorbell camera quality.",Salt Lake City
76,2024-10-19 12:55:00,Customer at 4112 Pine Ln experiencing frequent offline alerts. Wi-Fi signal at panel location was -78 dBm. Installed Wi-Fi range extender near panel — signal improved to -45 dBm and connection stabilized.,Provo
77,2025-03-16 16:52:00,Customer at 620 Walnut St reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Provo
78,2025-06-09 18:43:00,Customer at 7012 Hickory Dr complained panel touchscreen was sluggish and freezing. Firmware update resolved the issue — panel was running version from 2022. All zones tested OK after update.,Provo
79,2024-05-20 15:23:00,Landline-based system at 9754 Lake Way failing communication tests intermittently. POTS line quality has degraded significantly. Recommended and installed cellular communicator upgrade.,Lehi
80,2024-06-25 18:28:00,"System at 2386 Birch Way dropped offline after power outage. Cellular module needed manual reset. Rebooted communicator, verified connection, and tested alarm signal to central station.",Provo
81,2026-04-02 15:08:00,Service visit at 5981 Harbor Cir — window sensor on basement window showing tamper alert. Found sensor housing had cracked and reed switch was intermittent. Replaced sensor and re-enrolled to panel.,Salt Lake City
82,2025-05-29 07:53:00,Service call at 9035 Aspen Rd — system not communicating with central station. Found cellular module antenna cable was loose. Reconnected and confirmed signal test to monitoring center.,Provo
83,2025-08-17 09:10:00,PoE camera at 5981 Harbor Cir garage going offline daily. PoE switch port was overheating and shutting down. Replaced switch and confirmed stable power delivery to all 5 cameras.,Provo
84,2025-12-06 07:10:00,"Keypad at 2715 Forest Pl lost all programming after power outage. Backup battery in keypad was dead. Re-paired keypad to panel, restored user codes, and replaced keypad battery.",Salt Lake City
85,2024-09-10 09:06:00,"Standard install at 4112 Pine Ln with 7 door/window sensors, 3 motion detectors, smoke detector, and CO detector. Completed in 4.6 hours. Customer asked about adding cameras to the package in the future.",Lehi
86,2025-06-11 14:31:00,Customer at 9295 Dogwood Cir getting nuisance CO alerts. Detector was 8 years old with heavy dust accumulation. Replaced unit and advised customer on placement away from kitchen.,Provo
87,2025-01-09 07:25:00,Customer at 4112 Pine Ln reported erratic panel behavior — random zone faults and connectivity drops. Firmware was 4 behind current. Updated firmware and system stabilized.,Lehi
88,2025-06-05 13:32:00,Installed Smart Hub panel with 12 door/window sensors and 4 outdoor cameras at 4606 Cedar Ave. Job took 4.1 hours including customer walkthrough. Customer rated the experience 5 stars on the post-install survey.,Lehi
89,2025-02-06 16:47:00,Camera at 9295 Dogwood Cir pool area recording but not streaming live. Network bandwidth was saturated. Reduced stream resolution from 4K to 1080p and enabled motion-only recording to free bandwidth.,Lehi
90,2025-05-06 09:33:00,"Keypad at 5981 Harbor Cir lost all programming after power outage. Backup battery in keypad was dead. Re-paired keypad to panel, restored user codes, and replaced keypad battery.",Salt Lake City
91,2025-06-22 13:20:00,PoE camera at 620 Walnut St side yard going offline daily. PoE switch port was overheating and shutting down. Replaced switch and confirmed stable power delivery to all 5 cameras.,Lehi
92,2024-05-04 16:43:00,Customer at 5614 Westview Ct couldn't disarm system — keypad buttons unresponsive to touch in cold weather. Replaced aging keypad with newer model that has improved cold-weather digitizer.,Lehi
93,2024-04-21 16:47:00,"Completed full home security installation at 6324 Southpark Rd. SkyControl panel, 7 door/window sensors, and 1 cameras installed in 4.0 hours. Customer was impressed with the technology.",Salt Lake City
94,2025-07-17 09:26:00,Customer at 5674 Sunset Dr complained panel touchscreen was sluggish and freezing. Firmware update resolved the issue — panel was running version from 2021. All zones tested OK after update.,Lehi
95,2025-08-04 16:06:00,Install at 9028 Valley St had complications — customer changing sensor locations mid-install. Took 6.9 hours instead of the estimated 5.0. Customer was understanding but asked for a discount on monthly monitoring.,Lehi
96,2025-10-25 11:45:00,"Upgrade install at 620 Walnut St, replacing legacy system. New SkyControl panel, 6 sensors, and 5 HD cameras. Finished in 4.4 hours. Customer said the system was exactly what they needed for peace of mind.",Salt Lake City
97,2024-07-08 09:30:00,Service visit at 3357 Summit Dr — window sensor on basement window showing tamper alert. Found sensor housing had cracked and reed switch was intermittent. Replaced sensor and re-enrolled to panel.,Salt Lake City
98,2025-12-03 15:59:00,"System at 9295 Dogwood Cir dropped offline after power outage. Cellular module needed manual reset. Rebooted communicator, verified connection, and tested alarm signal to central station.",Provo
99,2025-12-21 12:04:00,Installation at 1619 Northfield Blvd took longer than expected at 8.6 hours due to attic access being extremely limited. Customer expressed frustration with the delay. Will need to return with additional parts to finish camera install.,Provo
100,2025-05-15 08:57:00,Door sensor at 2647 Highland Ave side door intermittently showing open/close. Found battery voltage low at 2.1V and corrosion on contacts. Replaced battery and cleaned terminals.,Provo
101,2025-07-08 07:59:00,Touchscreen keypad at 3757 Elm Ct had unresponsive area in lower right quadrant. Screen was 6 years old. Replaced keypad and transferred user codes — all functions verified.,Lehi
102,2024-05-10 18:14:00,Service call at 1924 Oak Dr for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Lehi
103,2025-08-31 07:28:00,Glass break sensor in den at 1684 Canyon Pl failed audio test. Sensitivity had degraded over 7 years of service. Replaced sensor and verified detection range with clap test.,Lehi
104,2025-11-07 15:14:00,Responded to 4657 River Blvd for motion detector false alarms in master bedroom. HVAC register was directly below sensor causing air movement triggers. Repositioned detector away from vent.,Salt Lake City
105,2024-08-18 11:54:00,Responded to 9774 Spruce Cir for motion detector false alarms in den. HVAC register was directly below sensor causing air movement triggers. Repositioned detector away from vent.,Lehi
106,2024-07-11 16:46:00,"Full security package installation at 1774 Eastgate Way. 8 sensors, 1 cameras, doorbell cam, and smart lock configured. Completed in 4.6 hours. Customer mentioned this was much better than their previous provider.",Provo
107,2025-12-21 10:25:00,Alarm at 3911 Juniper Way failed to report during quarterly test. 3G module was intermittent — carrier towers no longer supporting 3G in this zip code. Swapped to LTE communicator and ran successful test.,Salt Lake City
108,2024-01-17 11:35:00,Customer at 6324 Southpark Rd reporting constant beeping from keypad that won't stop. Found tamper switch was partially triggered due to loose mounting. Remounted keypad securely and cleared tamper alert.,Salt Lake City
109,2025-07-09 17:03:00,"New system install at 3627 Brookside Ln finished in 4.8 hours. Set up 4 entry sensors, 2 motion detectors, and a smart thermostat integration. Customer said the system was exactly what they needed for peace of mind.",Salt Lake City
110,2024-08-11 15:29:00,Install at 3711 Meadow Ln had complications — thick stone walls requiring special mounting hardware. Took 7.5 hours instead of the estimated 5.2. Will need to return with additional parts to finish camera install.,Provo
111,2026-01-09 11:34:00,Difficult install at 534 Hawthorn Pl due to incorrect equipment shipped — had to use backup kit. Spent 7.5 hours on-site. Customer was understanding but asked for a discount on monthly monitoring.,Provo
112,2024-03-21 12:25:00,Customer at 7024 Prairie Cir reported erratic panel behavior — random zone faults and connectivity drops. Firmware was 2 behind current. Updated firmware and system stabilized.,Provo
113,2024-08-04 18:56:00,Responded to repeated false alarms at 1619 Northfield Blvd. Motion detector in upstairs hallway was being triggered by HVAC drafts from ceiling vent. Adjusted sensitivity and repositioned sensor to eliminate false triggers.,Salt Lake City
114,2026-03-20 18:46:00,System at 2386 Birch Way failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 5 bars.,Salt Lake City
115,2025-11-27 16:42:00,Completed install at 7459 Creek Ct but ran into issues with pre-existing wiring damage behind walls. Total time was 5.8 hours. Left extra business cards — customer said they'd think about upgrading.,Lehi
116,2024-04-19 08:00:00,Customer at 9295 Dogwood Cir reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Lehi
117,2026-01-12 15:57:00,"Panel at 3911 Juniper Way rebooting intermittently. Found backup battery swollen and leaking. Battery was 5 years old. Replaced battery, cleaned corrosion from terminals, ran full diagnostic.",Provo
118,2025-08-31 16:12:00,"Residential install at 7024 Prairie Cir — Smart Hub panel, 9 contact sensors, 4 motion detectors, 5 cameras. Took 2.0 hours. Customer mentioned this was much better than their previous provider.",Salt Lake City
119,2026-04-15 17:38:00,Outdoor camera at 1524 Cherry Pl front walkway had water intrusion. Found crack in housing from UV degradation. Replaced camera and used silicone sealant on cable entry point as added protection.,Lehi
120,2024-01-28 18:29:00,Customer at 1635 Sycamore Ln reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Provo
121,2024-02-07 12:44:00,Responded to repeated false alarms at 5614 Westview Ct. Motion detector in kitchen was being triggered by ceiling fan movement. Adjusted sensitivity and repositioned sensor to eliminate false triggers.,Provo
122,2025-01-18 13:29:00,Customer at 6324 Southpark Rd reported erratic panel behavior — random zone faults and connectivity drops. Firmware was 3 behind current. Updated firmware and system stabilized.,Lehi
123,2026-01-09 18:28:00,"Completed full home security installation at 3357 Summit Dr. SkyControl panel, 4 door/window sensors, and 3 cameras installed in 4.4 hours. Customer was happy with the system walkthrough.",Provo
124,2024-06-12 12:35:00,Customer at 206 Mountain Rd complained panel touchscreen was sluggish and freezing. Firmware update resolved the issue — panel was running version from 2023. All zones tested OK after update.,Salt Lake City
125,2024-04-14 15:11:00,Touchscreen keypad at 3711 Meadow Ln had unresponsive area in lower right quadrant. Screen was 7 years old. Replaced keypad and transferred user codes — all functions verified.,Provo
126,2024-04-30 10:19:00,Difficult install at 9035 Aspen Rd due to unexpected plaster walls making drilling difficult. Spent 5.1 hours on-site. Will need to return with additional parts to finish camera install.,Salt Lake City
127,2025-12-11 17:59:00,Customer at 620 Walnut St reporting constant beeping from keypad that won't stop. Found tamper switch was partially triggered due to loose mounting. Remounted keypad securely and cleared tamper alert.,Salt Lake City
128,2024-06-20 08:36:00,Customer at 509 Maple St reported erratic panel behavior — random zone faults and connectivity drops. Firmware was 5 behind current. Updated firmware and system stabilized.,Lehi
129,2024-04-14 18:53:00,"Completed full home security installation at 3911 Juniper Way. Smart Hub panel, 5 door/window sensors, and 4 cameras installed in 3.3 hours. Customer was happy with the system walkthrough.",Lehi
130,2025-10-09 13:10:00,"Full security package installation at 5981 Harbor Cir. 9 sensors, 5 cameras, doorbell cam, and smart lock configured. Completed in 4.4 hours. Customer rated the experience 5 stars on the post-install survey.",Lehi
131,2025-08-09 11:54:00,Customer at 2647 Highland Ave reported smoke detector beeping intermittently. Found battery at end of life with significant dust buildup on sensor chamber. Replaced battery and cleaned unit — tested successfully.,Provo
132,2025-10-10 08:25:00,Service call at 2647 Highland Ave for app not updating sensor status. Panel Wi-Fi was connected but DNS was failing. Reconfigured network settings and restored real-time status updates.,Lehi
133,2025-07-14 16:08:00,System at 1619 Northfield Blvd failed to send alarm signal during test. Cellular communicator module was 3G — network has been sunset in this area. Upgraded to LTE module and confirmed signal strength at 3 bars.,Lehi
134,2024-03-25 12:42:00,Install at 7012 Hickory Dr had complications — unexpected plaster walls making drilling difficult. Took 5.9 hours instead of the estimated 3.3. Customer requested callback from supervisor.,Provo
135,2024-05-15 16:14:00,Service call at 3627 Brookside Ln for door sensor on kitchen window not communicating with panel. Found magnetic alignment was off by 1/4 inch after recent door adjustment. Realigned sensor and tested — now reporting correctly.,Lehi
136,2025-06-27 16:00:00,Customer at 5981 Harbor Cir reporting constant beeping from keypad that won't stop. Found tamper switch was partially triggered due to loose mounting. Remounted keypad securely and cleared tamper alert.,Provo
137,2025-10-22 08:15:00,Customer at 1774 Eastgate Way reported blurry camera image on backyard camera. Lens had spider web and debris buildup. Cleaned lens and housing — image quality restored. Adjusted motion zone settings.,Provo
138,2024-11-20 09:24:00,Video feed from 1619 Northfield Blvd front walkway camera cutting out intermittently. Traced to loose BNC connector at camera end. Re-terminated cable and secured connection — feed is stable.,Salt Lake City
139,2024-03-26 11:05:00,Service visit at 2647 Highland Ave — panel showing AC power loss. Traced issue to blown fuse on dedicated security circuit. Restored AC power and confirmed battery backup was charging correctly.,Salt Lake City
140,2024-05-02 07:45:00,"Panel battery replacement at 1524 Cherry Pl. Customer reported chirping for 2 days. Battery was 4 years old and wouldn't hold charge above 10.6V. Installed new battery, cleared low battery alert.",Lehi
141,2025-04-11 15:23:00,Video feed from 4112 Pine Ln pool area camera cutting out intermittently. Traced to loose BNC connector at camera end. Re-terminated cable and secured connection — feed is stable.,Provo
142,2026-04-02 18:47:00,"Full security package installation at 4657 River Blvd. 8 sensors, 1 cameras, doorbell cam, and smart lock configured. Completed in 3.2 hours. Homeowner mentioned they'd recommend us to their neighbors.",Salt Lake City
143,2024-02-17 13:04:00,"System at 7024 Prairie Cir dropped offline after power outage. Cellular module needed manual reset. Rebooted communicator, verified connection, and tested alarm signal to central station.",Salt Lake City
144,2024-01-25 10:34:00,False alarm investigation at 6973 Ridge Ave. Motion detector in den triggering at night due to pet movement (cat jumping on furniture). Relocated sensor and added pet immunity lens — customer has a 65lb golden retriever.,Salt Lake City
145,2026-02-04 08:37:00,Touchscreen keypad at 1779 Willow Blvd had unresponsive area in lower right quadrant. Screen was 5 years old. Replaced keypad and transferred user codes — all functions verified.,Salt Lake City
146,2024-04-21 09:06:00,Alarm at 7012 Hickory Dr failed to report during quarterly test. 3G module was intermittent — carrier towers no longer supporting 3G in this zip code. Swapped to LTE communicator and ran successful test.,Lehi
147,2025-02-09 15:03:00,Installed Smart Hub panel with 11 door/window sensors and 5 outdoor cameras at 9295 Dogwood Cir. Job took 2.1 hours including customer walkthrough. Homeowner mentioned they'd recommend us to their neighbors.,Salt Lake City
148,2024-03-04 10:08:00,Customer at 588 Magnolia Ave reported system showing offline in app. Wi-Fi module lost connection after router was replaced. Reconnected system to new network and verified cloud connectivity.,Lehi
149,2025-05-23 07:24:00,"Full security package installation at 206 Mountain Rd. 8 sensors, 4 cameras, doorbell cam, and smart lock configured. Completed in 4.7 hours. Customer was impressed with the app walkthrough and doorbell camera quality.",Provo
150,2025-07-17 14:03:00,Installed SkyControl panel with 12 door/window sensors and 1 outdoor cameras at 2386 Birch Way. Job took 3.3 hours including customer walkthrough. Customer mentioned this was much better than their previous provider.,Lehi
